1回目  行動=0 行動前の状態１lidarbufpast=36264 行動前の状態２lidarcatchpast=221796 robo_x=1473.304325 robo_y=747.547326 Lidar_x=1500 Lidar_y=1500 dist_now=1502.689821 dist_past=0.000000
2回目  行動=0 行動前の状態１lidarbufpast=62667 行動前の状態２lidarcatchpast=348773 robo_x=1469.079925 robo_y=996.744015 Lidar_x=1456 Lidar_y=1363 
3回目  行動=0 行動前の状態１lidarbufpast=62077 行動前の状態２lidarcatchpast=403047 robo_x=1467.358476 robo_y=1249.491055 Lidar_x=1481 Lidar_y=2823 
壁衝突!! 現在位置 Lidar_x座標: 1481 Lidar_y座標: 2823 ICP_x座標: 1487.833751 ICP_y座標: 1359.710279 
